"rtid","roadtype","onewaysummary","sidewalk","cyclewayleft","lanespsvforward","lanesforward","lanesbackward","lanespsvbackward","cyclewayright"
368,"Trunk Road - Cycling Allowed","Two Way","no","no",0,1,1,0,"no"
369,"Trunk Road - Cycling Allowed","Two Way","right","no",0,1,1,0,"no"
370,"Trunk Road - Cycling Allowed","Two Way","left","no",0,1,1,0,"no"
371,"Trunk Road - Cycling Allowed","Two Way","no","no",0,1,2,0,"no"
372,"Trunk Road - Cycling Allowed","Two Way","right","no",0,1,2,0,"no"
373,"Trunk Road - Cycling Allowed","Two Way","both","no",0,1,1,0,"no"
374,"Trunk Road - Cycling Allowed","Two Way","right","share_busway",1,1,2,1,"share_busway"
375,"Trunk Road - Cycling Allowed","Two Way","no","no",0,1,0,0,"no"
376,"Trunk Road - Cycling Allowed","Two Way","no","lane",0,1,1,0,"lane"
377,"Trunk Road - Cycling Allowed","Two Way","both","no",0,1,3,0,"no"
378,"Trunk Road - Cycling Allowed","Two Way","left","no",0,1,2,0,"no"
379,"Trunk Road - Cycling Allowed","Two Way","both","no",0,1,2,0,"no"
380,"Trunk Road - Cycling Allowed","Two Way","no","no",0,1,3,0,"no"
381,"Trunk Road - Cycling Allowed","Two Way","no","share_busway",1,1,0,0,"no"
382,"Trunk Road - Cycling Allowed","Two Way","left","track",0,1,1,0,"track"
383,"Trunk Road - Cycling Allowed","Two Way","both","share_busway",1,1,0,0,"no"
384,"Trunk Road - Cycling Allowed","Two Way","both","no",0,1,2,0,"track"
385,"Trunk Road - Cycling Allowed","Two Way","both","no",0,1,1,0,"track"
386,"Trunk Road - Cycling Allowed","Two Way","no","track",0,1,1,0,"track"
387,"Trunk Road - Cycling Allowed","Two Way","right","track",0,1,1,0,"track"
388,"Trunk Road - Cycling Allowed","Two Way","no","no",0,2,2,0,"no"
389,"Trunk Road - Cycling Allowed","Two Way","both","no",0,2,2,0,"no"
390,"Trunk Road - Cycling Allowed","Two Way","no","no",0,2,1,0,"no"
391,"Trunk Road - Cycling Allowed","Two Way","right","no",0,2,2,0,"no"
392,"Trunk Road - Cycling Allowed","Two Way","no","track",0,2,1,0,"track"
393,"Trunk Road - Cycling Allowed","Two Way","no","no",0,2,1,1,"share_busway"
394,"Trunk Road - Cycling Allowed","Two Way","no","share_busway",1,2,2,0,"no"
395,"Trunk Road - Cycling Allowed","Two Way","left","no",0,2,2,0,"no"
396,"Trunk Road - Cycling Allowed","Two Way","no","lane",0,2,2,0,"lane"
397,"Trunk Road - Cycling Allowed","Two Way","both","no",0,2,1,0,"no"
398,"Trunk Road - Cycling Allowed","Two Way","no","share_busway",1,2,2,1,"share_busway"
399,"Trunk Road - Cycling Allowed","Two Way","left","no",0,2,1,0,"no"
400,"Trunk Road - Cycling Allowed","Two Way","both","no",0,2,2,1,"share_busway"
401,"Trunk Road - Cycling Allowed","Two Way","both","no",0,2,1,1,"share_busway"
402,"Trunk Road - Cycling Allowed","Two Way","both","no",0,2,1,0,"track"
403,"Trunk Road - Cycling Allowed","Two Way","no","track",0,2,2,0,"track"
404,"Trunk Road - Cycling Allowed","Two Way","no","no",0,3,1,0,"no"
405,"Trunk Road - Cycling Allowed","Two Way","both","no",0,3,2,0,"no"
406,"Trunk Road - Cycling Allowed","Two Way","both","share_busway",1,3,2,0,"no"
407,"Trunk Road - Cycling Allowed","Two Way","both","no",0,3,3,0,"no"
408,"Trunk Road - Cycling Allowed","Two Way","no","no",0,4,2,0,"no"
409,"Trunk Road Link - Cycling Allowed","One Way","no","no",0,1,0,0,"no"
410,"Trunk Road Link - Cycling Allowed","One Way","left","no",0,1,0,0,"no"
411,"Trunk Road Link - Cycling Allowed","One Way","no","lane",0,1,0,0,"no"
412,"Trunk Road Link - Cycling Allowed","One Way","no","no",0,1,0,0,"lane"
413,"Trunk Road Link - Cycling Allowed","One Way","no","lane",0,1,0,0,"lane"
414,"Trunk Road Link - Cycling Allowed","One Way","no","share_busway",1,1,0,0,"no"
415,"Trunk Road Link - Cycling Allowed","One Way","no","track",0,1,0,0,"track"
416,"Trunk Road Link - Cycling Allowed","One Way","both","no",0,1,0,0,"no"
417,"Trunk Road Link - Cycling Allowed","One Way","right","no",0,1,0,0,"no"
418,"Trunk Road Link - Cycling Allowed","One Way","no","track",0,1,0,0,"no"
419,"Trunk Road Link - Cycling Allowed","One Way","no","no",0,2,0,0,"no"
420,"Trunk Road Link - Cycling Allowed","One Way","no","lane",0,2,0,0,"lane"
421,"Trunk Road Link - Cycling Allowed","One Way","left","no",0,2,0,0,"no"
422,"Trunk Road Link - Cycling Allowed","One Way","no","track",0,2,0,0,"no"
423,"Trunk Road Link - Cycling Allowed","One Way","right","no",0,3,0,0,"no"
424,"Trunk Road Link - Cycling Allowed","One Way","no","no",0,3,0,0,"no"
425,"Trunk Road Link - Cycling Allowed","One Way","left","no",0,3,0,0,"no"
426,"Trunk Road Link - Cycling Allowed","One Way","no","no",0,4,0,0,"no"
427,"Trunk Road Link - Cycling Allowed","Two Way","no","no",0,1,1,0,"no"
428,"Trunk Road Link - Cycling Allowed","Two Way","no","no",0,1,0,0,"no"
429,"Trunk Road Link - Cycling Allowed","Two Way","no","no",0,2,1,0,"no"
