"code","label"
1,"Automatic traffic signal out"
2,"Automatic traffic signal partially defective"
3,"Data missing or out of range"
4,"Dry"
5,"Flood (surface water over 3cm deep)"
6,"Flood over 3cm. deep"
7,"Frost or ice"
8,"Frost/ice"
9,"Mud (from 1999)"
10,"NULL or Invalid value"
11,"Oil or diesel"
12,"Oil or diesel (from 1999)"
13,"Permanent road signing or marking defective or obscured"
14,"Road surface defective"
15,"Roadworks"
16,"Snow"
17,"Undefined"
18,"Wet or damp"
19,"Wet/damp"
