"code","label"
1,"A"
2,"A(M)"
3,"Automatic traffic signal out"
4,"Automatic traffic signal partially defective"
5,"B"
6,"C"
7,"Motorway"
8,"NULL or Invalid value"
9,"Oil or diesel"
10,"Permanent road signing or marking defective or obscured"
11,"Road surface defective"
12,"Roadworks"
13,"Unclassified"
14,"Undefined"
