"code","label"
1,"Automatic traffic signal out"
2,"Automatic traffic signal partially defective"
3,"Control by other authorised person"
4,"Control by school crossing patrol"
5,"Data missing or out of range"
6,"No crossing 50m or phys. crossing not controlled"
7,"No crossing in 50m or physical crossing not controlled by au"
8,"None"
9,"None within 50 metres"
10,"None within 50 metres "
11,"Undefined"
