"code","label"
1,"Darkness - lighting unknown"
2,"Darkness - lightng unknown"
3,"Darkness - lights lit"
4,"Darkness - lights unlit"
5,"Darkness - no lighting"
6,"Daylight"
7,"Daylight - lightng unknown"
8,"Daylight - lights present"
9,"Daylight - no lighting"
