"code","label"
1,"A"
2,"A(M)"
3,"Automatic traffic signal out"
4,"Automatic traffic signal partially defective"
5,"B"
6,"C"
7,"Motorway"
8,"Oil or diesel"
9,"Permanent road signing or marking defective or obscured"
10,"Road surface defective"
11,"Roadworks"
12,"Unclassified"
13,"Undefined"
