"code","label"
1,"Fine + high winds"
2,"Fine no high winds"
3,"Fog or mist"
4,"Other"
5,"Raining + high winds"
6,"Raining no high winds"
7,"Snowing + high winds"
8,"Snowing no high winds"
9,"Unknown"
