"code","label"
1,"Automatic traffic signal out"
2,"Automatic traffic signal partially defective"
3,"Mud"
4,"None"
5,"Oil or diesel"
6,"Road signs or markings defective or obscured"
7,"Road surface defective"
8,"Roadworks"
