"code","label"
1,"Crossroads"
2,"Data missing or out of range"
3,"Mini-roundabout"
4,"More than 4 arms (not roundabout)"
5,"Multiple junction"
6,"Not at junction or within 20 metres"
7,"Other junction"
8,"Private drive or entrance"
9,"Roundabout"
10,"Slip road"
11,"T or staggered junction"
12,"T, Y or staggered junction"
13,"Undefined"
