"code","label"
1,"Crossroads"
2,"Mini-roundabout"
3,"More than 4 arms (not roundabout)"
4,"Multiple junction"
5,"Not at junction or within 20 metres"
6,"Other junction"
7,"Private drive or entrance"
8,"Roundabout"
9,"Slip road"
10,"T or staggered junction"
11,"T, Y or staggered junction"
