"code","label"
1,"Dual carriageway"
2,"Dual carriageway - 2 lanes"
3,"Dual carriageway - 3+ lanes"
4,"One way street"
5,"One way street (from 2005)"
6,"Roundabout"
7,"Single carriageway"
8,"Single carriageway - 2 lanes"
9,"Single carriageway - 3 lanes"
10,"Single carriageway - 4+ lanes"
11,"Single carriageway - single track"
12,"Slip road"
13,"Slip road (from 2005)"
14,"Unknown"
