"code","label"
1,"Electric"
2,"Electric diesel"
3,"Gas"
4,"Gas Diesel"
5,"Gas/Bi-fuel"
6,"Heavy oil"
7,"Hybrid electric"
8,"New fuel technology"
9,"Petrol"
10,"Petrol/Gas (LPG)"
11,"Steam"
