"code","label"
1,"Approaching junction"
2,"Approaching junction or waiting/parked at junction approach"
3,"Cleared junction"
4,"Cleared junction or waiting/parked at junction exit"
5,"Did not impact"
6,"Entering from slip road"
7,"Entering main road"
8,"Entering roundabout"
9,"In middle of junction"
10,"Leaving main road"
11,"Leaving roundabout"
12,"Mid junction - on roundabout or on main road"
13,"Not at junction"
