"code","label"
1,"Automatic traffic signal out"
2,"Automatic traffic signal partially defective"
3,"Data missing or out of range"
4,"Dry"
5,"Flood (surface water over 3cm deep)"
6,"Flood over 3cm. deep"
7,"Frost or ice"
8,"Frost/ice"
9,"Mud (from 1999)"
10,"Oil or diesel"
11,"Oil or diesel (from 1999)"
12,"Permanent road signing or marking defective or obscured"
13,"Road surface defective"
14,"Roadworks"
15,"Snow"
16,"Undefined"
17,"Wet or damp"
18,"Wet/damp"
