"code","label"
1,"Dual carriageway"
2,"Dual carriageway - 2 lanes"
3,"Dual carriageway - 3+ lanes"
4,"One way street"
5,"Roundabout"
6,"Single carriageway"
7,"Single carriageway - 2 lanes"
8,"Single carriageway - 3 lanes"
9,"Single carriageway - 4+ lanes"
10,"Single carriageway - single track"
11,"Slip road"
