"code","label"
1,"Data missing or out of range"
2,"Did not leave carriageway"
3,"Nearside"
4,"Nearside and rebounded"
5,"Offside"
6,"Offside - crossed central reservation"
7,"Offside and rebounded"
8,"Offside on to central reservation"
9,"Offside on to centrl res + rebounded"
10,"Straight ahead at junction"
