"code","label"
1,"Central refuge"
2,"Footbridge or subway"
3,"No crossing facility within 50 metres"
4,"Pedestrian phase at traffic signal junction"
5,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing"
6,"Zebra"
